"id","category","prompt","mode","domain","tags","expected_authorities","notes"
"v2-089","jurisdiction_specific","Did Virginia abolish the death penalty by statute in 2021, and which Code section codifies the abolition?","chat","criminal","[""recent-amendment""]","[""Va. Code § 18.2-31""]","Yes — 2021 abolition; § 18.2-31 capital murder no longer subject to death."
"v2-090","jurisdiction_specific","What is Virginia's current law on simple possession of marijuana for personal use after the 2021 legalization?","chat","criminal","[""recent-amendment""]","[""Va. Code § 4.1-1100""]","Personal possession by adults legal; sale still restricted."
"v2-091","jurisdiction_specific","Under Virginia's 2020 expansion of expungement eligibility, when may a person seek expungement of a misdemeanor conviction rather than only a charge dismissed nolle prosequi?","chat","criminal","[""expungement""]","[""Va. Code § 19.2-392.6""]","Tests Virginia's 2020 sealing/expungement reform."
"v2-092","jurisdiction_specific","After Virginia's 2022 expansion of Court of Appeals jurisdiction, may a party now appeal a final judgment in any civil case as of right rather than only on petition?","chat","civil_procedure","[""recent-amendment""]","[""Va. Code § 17.1-405""]","Yes — universal civil appellate jurisdiction effective Jan 1, 2022."
"v2-093","jurisdiction_specific","Under the Eastern District of Virginia 'rocket docket', what is the typical interval from filing to trial in a civil case?","chat","civil_procedure","[""local-practice""]","[]","EDVA known for ~9-12 months; tests local knowledge."
"v2-094","jurisdiction_specific","Did the Virginia Supreme Court amend Rule 1:1 in any recent term to extend the 21-day post-judgment jurisdiction period?","chat","civil_procedure","[""rule-amendment""]","[]","TRAP — Rule 1:1 not amended; test for hallucination of fictitious amendment."
"v2-095","jurisdiction_specific","What is the current Virginia legal-holiday calendar for 2026, and which holidays fall on weekdays affecting Rule 1:7 computation?","chat","deadlines","[""holiday-calendar""]","[]","Tests CLARA's live holiday-calendar injection for 2026."
"v2-096","jurisdiction_specific","Did Juneteenth become a Virginia state legal holiday for purposes of court-deadline computation, and in what year?","chat","deadlines","[""holiday""]","[""Va. Code § 2.2-3300""]","Yes — 2020."
"v2-097","jurisdiction_specific","What is the current Virginia medical-malpractice cap for occurrences in 2026, and what year does it next increase?","chat","med_mal","[""cap""]","[""Va. Code § 8.01-581.15""]","Tests live cap-window injection for 2026; cap rises July 1 each year."
"v2-098","jurisdiction_specific","Under Virginia's 2018 medical-malpractice amendments, did the certification-of-merit requirement change for emergency-room care claims?","chat","med_mal","[""recent-amendment""]","[""Va. Code § 8.01-20.1""]","Tests knowledge of any 2018 amendments to certification requirements."
"v2-099","jurisdiction_specific","Did the Virginia Tort Claims Act's recovery cap increase in any session of the General Assembly between 2020 and 2025?","chat","sovereign_immunity","[""vtca"", ""cap""]","[""Va. Code § 8.01-195.3""]","Tests knowledge of any cap adjustments."
"v2-100","jurisdiction_specific","What is the current notice-of-claim deadline under the Virginia Tort Claims Act, and to whom must the notice be served?","chat","sovereign_immunity","[""vtca"", ""notice""]","[""Va. Code § 8.01-195.6""]","1-year notice; served on Director of Risk Management or Attorney General."
"v2-101","jurisdiction_specific","Did Virginia adopt the federal Daubert standard for expert testimony in any recent legislative session?","chat","evidence","[""recent-amendment""]","[]","TRAP — Virginia did not adopt Daubert wholesale; codified hybrid standard."
"v2-102","jurisdiction_specific","Under Virginia's 2021 amendment to § 19.2-271.6, when is mental-health evidence admissible at the guilt phase of a criminal trial?","chat","evidence","[""recent-amendment"", ""mental-health""]","[""Va. Code § 19.2-271.6""]","Tests knowledge of 2021 mental-health-evidence statute."
"v2-103","jurisdiction_specific","Did Virginia enact an anti-SLAPP statute, and if so, what is the procedural mechanism and deadline for invoking it?","chat","defamation","[""anti-slapp""]","[""Va. Code § 8.01-223.2""]","Limited anti-SLAPP for matters of public concern; immunity defense."
"v2-104","jurisdiction_specific","What is the Virginia statute of limitations for an internet-defamation claim, and from which publication does it run under the single-publication rule?","chat","defamation","[""sol""]","[""Va. Code § 8.01-247.1""]","1 year from first publication."
"v2-105","jurisdiction_specific","After the 2022 Court of Appeals expansion, does the Virginia Supreme Court retain mandatory jurisdiction over any class of cases?","chat","appellate","[""recent-amendment"", ""jurisdiction""]","[]","Discretionary review primarily; some categories retained."
"v2-106","jurisdiction_specific","What is the deadline under Va. R. 5:14 for filing a petition for appeal in the Virginia Supreme Court from a Court of Appeals decision?","chat","appellate","[""deadline""]","[]","30 days for petition for appeal."
"v2-107","jurisdiction_specific","Did the Virginia State Bar issue any new Legal Ethics Opinions on AI use after LEO 1901, and what topics did they address?","chat","ethics","[""recent-leo""]","[]","Tests knowledge of post-LEO 1901 ethics guidance."
"v2-108","jurisdiction_specific","Under Virginia Rule of Professional Conduct 1.6, did the 2023 amendments expand the permissive-disclosure exceptions for client confidentiality?","chat","ethics","[""rpc""]","[]","Tests recent Rule 1.6 amendments."
"v2-109","jurisdiction_specific","Following Virginia's 2020 felony sentencing reforms, must a defendant be advised of mandatory-minimum sentences during the plea colloquy?","chat","plea_colloquy","[""recent-amendment""]","[]","Yes — must understand consequences."
"v2-110","jurisdiction_specific","Has the Virginia General Assembly considered any bills since 2020 to replace contributory negligence with comparative negligence, and what was the outcome?","chat","contributory_negligence","[""legislative""]","[]","Multiple bills, none enacted; tests legislative tracking."
"v2-111","jurisdiction_specific","Under Va. Rule 4:12 as amended in 2023, what new factors must a Virginia court consider before imposing dispositive sanctions for spoliation of electronically stored information?","chat","discovery_sanctions","[""esi"", ""recent-amendment""]","[]","Tests knowledge of any ESI-spoliation amendments."
"v2-112","jurisdiction_specific","What is Virginia's current statewide minimum wage for 2026, and on what date does the next scheduled increase take effect?","chat","employment","[""wage""]","[""Va. Code § 40.1-28.10""]","Tests live wage-increase schedule."
"v2-113","jurisdiction_specific","Under the 2020 Virginia Values Act amendments to the VHRA, what new protected characteristics were added?","chat","employment","[""vhra""]","[""Va. Code § 2.2-3905""]","Sexual orientation, gender identity added 2020."
"v2-114","jurisdiction_specific","Did Virginia change the no-fault separation period in 2020, and what is the current required separation for divorce on no-fault grounds?","chat","family_law","[""divorce""]","[""Va. Code § 20-91""]","1 year (or 6 months without minor children and signed PSA); tests for any recent change."
"v2-115","jurisdiction_specific","Under Virginia's 2024 child-support guideline updates, did the income shares model change for high-income earners above $35,000 monthly combined?","chat","family_law","[""child-support""]","[""Va. Code § 20-108.2""]","Tests knowledge of guideline-table updates."
"v2-116","jurisdiction_specific","Has the Virginia Supreme Court interpreted the Virginia UTSA to preempt common-law claims for breach of confidence based on the same facts?","chat","trade_secrets","[""preemption""]","[""Va. Code § 59.1-341""]","Yes — VUTSA displaces conflicting tort claims."
"v2-117","jurisdiction_specific","What is Virginia's current homestead exemption amount under Va. Code § 34-4 for use in bankruptcy filings in 2026?","chat","bankruptcy","[""exemption""]","[""Va. Code § 34-4""]","Tests current exemption amount."
"v2-118","jurisdiction_specific","Under the Virginia State Corporation Commission's procedural rules, what is the deadline to file a petition for reconsideration of a final order?","chat","administrative_law","[""scc""]","[]","20 days from final order; SCC Rule 5 VAC 5-20-220."
"v2-119","jurisdiction_specific","Under Virginia's 2021 expungement reform, are convictions for marijuana possession automatically sealed, or does the petitioner still need to file?","chat","criminal","[""expungement"", ""automatic-sealing""]","[""Va. Code § 19.2-392.7""]","Automatic sealing for certain misdemeanors; phased rollout."
"v2-120","jurisdiction_specific","Did Virginia enact any change in 2024 to the residency requirements for circuit court judges, and what is the current rule?","chat","criminal","[""judiciary""]","[]","Tests judicial-residency knowledge."
"v2-121","jurisdiction_specific","What is the current filing fee for a circuit court complaint in Virginia for a claim seeking $50,000 in damages, and where is it posted?","chat","civil_procedure","[""fees""]","[]","Tests Va. Supreme Court fee schedule knowledge."
"v2-122","jurisdiction_specific","Under the Norfolk Circuit Court's Trial Practice Order, what is the deadline for designating expert witnesses in a civil case?","chat","civil_procedure","[""local-practice""]","[]","Tests local-rule knowledge for Norfolk Circuit."
"v2-123","jurisdiction_specific","Did the Virginia Consumer Protection Act extend to lease-purchase agreements after the 2023 amendments, and what new disclosures are required?","chat","contracts","[""vcpa"", ""recent-amendment""]","[""Va. Code § 59.1-200""]","Tests scope of recent VCPA amendments."
"v2-124","jurisdiction_specific","Under VRLTA, what is the current deadline for a landlord to file an unlawful-detainer warrant in the General District Court after the tenant fails to remedy a 5-day notice?","chat","vrlta","[""procedure""]","[""Va. Code § 55.1-1245""]","May file after expiration; no maximum but laches concerns."
"v2-125","jurisdiction_specific","Has the Virginia Supreme Court adopted any changes to the time for filing a notice of appeal in 2024 or 2025?","chat","deadlines","[""rule-amendment""]","[]","TRAP — 30-day notice has not been changed; tests for hallucinated rule change."
"v2-126","jurisdiction_specific","What is the current Virginia State Bar requirement for annual MCLE hours, including ethics, and when was the requirement last modified?","chat","ethics","[""mcle""]","[]","12 hours annually, 2 ethics; tests current MCLE rule."
"v2-127","jurisdiction_specific","Under the 2023 Virginia Rules of Evidence amendments, when is body-camera video admissible without traditional authentication-witness foundation?","chat","evidence","[""bodycam"", ""recent-amendment""]","[]","Tests knowledge of any bodycam-evidence rule changes."
